mtime,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
24,23301,21568,4115,49966,32970,45569,36894,27801,40702,36684,37850,42082,39434,45260,35335,25182,21087,25710,6458,4498,6490,3275,29317,1707,25053,33120,23959,27994,15515,43937
25,41926,23239,7114,4362,7257,37660,27795,5054,22821,37793,36321,10660,6141,35690,37888,26807,40648,47098,16857,16068,45882,25186,22064,39081,1062,21816,39214,36279,22879,34902
26,9415,6220,11792,45804,5388,38841,7058,45972,38603,34448,37820,21939,23279,17706,5811,31419,29778,3615,26897,34580,17524,44374,6276,28030,38061,35361,28578,42792,13326,8761
27,12723,48824,23294,20476,28281,3892,28145,24312,19535,39678,37528,37642,8444,38391,28368,24467,19127,24680,32996,47889,7792,40805,45415,16096,29693,44316,24530,45030,25366,6264
28,7325,1305,42140,44884,33007,11090,15275,38967,39687,28462,29396,15962,9730,29084,37105,2622,45260,48448,29343,25676,20668,45945,37697,40600,8168,40091,11474,47517,30826,3101
29,19827,42902,44076,23858,19584,37096,47554,4388,21051,17556,14889,41759,20337,26680,28028,37570,15392,28654,13142,13279,16971,33770,7027,49292,12430,38823,4296,20401,18064,48494
30,38231,5763,21092,7495,34729,3951,24828,37253,17902,29682,19180,3535,16908,42255,41173,38616,40054,4189,1219,37277,22803,6356,12875,28754,47128,33900,5571,40134,30180,49682
31,18005,43225,26938,35836,24233,2398,11981,26266,35662,48239,9050,13323,29960,33205,37080,27535,19925,47978,24779,7515,38556,2962,3426,12056,18979,35394,31998,22100,22045,44788
32,44863,24121,6963,42654,31275,14031,4180,18884,27654,1679,8860,26616,23120,43365,17687,6080,16807,45753,47866,11911,2114,20409,37751,38335,3221,6982,23783,47325,38447,10151
33,37085,13052,31825,18962,40549,32820,10204,1784,12219,2969,6720,37276,26194,23786,24691,42426,33437,14025,40876,12963,2755,21063,46717,8335,49234,39692,19792,5892,19407,41468
34,48041,44737,47748,1223,36146,39987,15789,18312,35335,19692,27221,12110,12032,42474,2250,48092,39736,43540,2843,31961,28180,49404,20203,28583,9174,2780,38382,32227,27165,49267
35,30979,14524,24048,17197,18554,27154,2203,35558,16326,30575,7775,18693,8455,35256,24672,27859,9124,41188,36351,16871,30165,34641,45265,27780,4738,19748,39038,18059,49889,18105
36,24314,27507,27908,48193,38559,48862,24409,28553,14832,27431,41887,33597,8696,8399,26827,1226,48119,49923,9648,34823,40814,18601,3112,30489,8692,26560,33935,34843,40490,10296
37,41335,15953,44137,19750,45786,31374,14040,28149,15036,44102,26370,28371,41575,18301,11188,45401,12643,16801,26505,29144,29755,45055,24427,19969,43513,1787,11668,16843,44534,29102
38,21395,45084,5038,17869,40967,46314,28075,22421,33456,48189,3885,16930,9009,25933,36981,43203,43952,12636,2669,32715,21848,28500,37340,23202,29350,19536,37043,17682,8639,25943
39,34519,17757,4129,6175,24412,11270,28184,17485,41916,38515,47796,27018,32595,1400,12522,30262,45652,20768,12121,27293,30594,25988,7397,32858,37027,37502,39955,39923,14068,42686
40,7693,26803,47392,26800,45766,46327,46257,33519,22246,41980,28625,6846,1801,15795,25744,16152,20428,17476,35941,39314,17660,26727,8571,3552,26991,4989,44017,32641,10854,37271
41,35187,2411,29497,26398,7481,1519,36268,33717,18838,15078,33170,33768,33639,33998,32541,49830,49330,42310,17400,10349,2931,8763,17982,18087,24323,12726,14143,16696,45421,40690
42,32356,27303,35163,28113,12640,39655,26764,5040,6166,31492,17331,32051,17950,23895,1442,14883,36808,14128,26317,12715,26341,15939,45254,9047,7884,6193,13619,7809,28364,17676
43,6364,4406,6023,7696,29477,20666,38482,13551,6534,47365,17431,23914,9092,13813,27783,6636,20515,21720,2337,22382,10325,35997,8597,20701,40485,23628,45871,13321,6272,49173
44,7004,47651,11184,8339,39046,33340,6502,8846,32719,46565,33994,12648,25161,43319,19209,46166,12010,27376,24223,7732,28822,43769,46286,29077,21720,18458,41884,10604,40281,37957
45,7374,8084,12878,16599,24136,26913,25587,7628,4438,5646,38921,13143,12682,43936,6173,22159,35060,2489,33538,30718,36475,9992,7634,30632,2332,40738,26242,49221,5157,9853
46,23657,33121,19102,16835,7306,42401,42442,1719,21098,40464,23162,45974,24203,41853,1500,10430,44981,42282,49373,29016,35260,14069,39110,6967,48968,44957,10141,46297,39095,44122
47,5174,17648,4493,7192,11464,8242,38470,26312,10253,21564,5431,45419,16113,27892,49591,9575,28808,6612,12462,22258,26296,14104,13549,20564,8797,28355,41587,35512,25513,29502
48,11734,20406,39773,30682,48605,44487,27651,14139,18162,5654,25222,6328,23142,29266,34285,46079,8855,19408,36013,18403,20425,2136,22101,46300,34012,1666,5172,13686,28845,27867
49,10756,21612,29579,13986,15317,29192,20289,11937,22201,44923,7119,46633,9870,49157,30096,6000,22058,30823,35850,21191,15817,5590,36021,43485,48762,5202,17780,41249,9804,26394
50,18990,4816,19111,20972,27025,32434,49598,6904,12123,36780,28897,40910,6416,43955,31483,20778,46141,10213,32393,48014,10417,31532,16420,29124,1160,49305,33722,7394,4396,49444
51,15550,4793,11729,28803,25145,45753,19442,45379,27991,13952,9216,8266,1221,2700,37785,21066,39462,49019,38100,29165,39167,33119,46316,33757,43550,6629,25522,49057,46465,6930
52,8894,22457,6479,36177,36703,4091,16827,28107,14768,20693,33274,8577,33554,40998,4362,5342,40468,4131,32567,19542,42894,6037,17934,36174,43007,1175,30151,42098,19833,4827
53,22302,15447,47819,44477,36213,16070,35699,19938,8423,37396,15994,25931,7362,3058,30944,42973,46746,5199,25007,3194,43832,14099,28164,46423,13767,21146,5830,42027,29545,20396
54,25165,10062,20206,2185,29231,28833,24710,16205,21144,4865,44356,21332,38261,31057,46150,48860,1541,45167,6140,10135,17790,38732,23646,37817,44811,39843,38607,2672,5276,38943
55,26794,27466,24584,45676,40677,34483,20296,40557,45528,28374,26245,9941,26022,24497,15925,1323,18747,28971,36336,14131,34192,9964,43207,31336,27772,5820,24843,6378,19903,30528
56,43528,21358,31654,26511,3903,20293,36696,31046,40997,14901,48224,15025,5743,26137,37708,37713,47189,1694,29927,35353,9699,41842,28717,13564,46561,40234,21589,33721,8771,30664
57,21399,20693,3899,30780,16843,19962,46099,25146,9698,14455,13621,40512,1283,3636,22748,9589,21761,1529,48806,22950,14809,22697,8039,6871,47384,43235,17628,22145,46149,48117
58,33890,12002,31478,27618,4651,1782,3411,5044,3163,48126,12693,30298,31885,35429,32812,12157,10794,17735,17816,48060,1064,49345,37090,27093,2193,8158,37388,24407,6859,48259
59,37856,9263,34782,48264,45704,32438,4022,25694,40036,2175,39834,43766,28692,28313,9371,8136,20140,2418,45185,37504,5127,18075,25151,43807,49871,14467,37845,24363,32157,19948
60,23775,6641,4899,20326,18098,26148,14828,14943,41088,19104,30069,14423,19726,35162,8561,32490,22752,31600,17595,14915,37352,10493,14957,1231,28716,17516,32794,32847,30229,20215
61,22634,2768,38313,21043,36130,37924,28394,1151,19423,19493,28411,46980,10631,5944,31243,14638,6149,46961,47692,7949,43230,33206,15227,4624,32258,21130,44886,16744,9885,9095
62,28092,45722,49438,13743,41573,35491,49964,34614,34371,9839,18090,49629,8621,47311,12559,26145,25689,16057,26257,37572,1308,19922,6243,49833,38764,48683,49178,46283,48289,21163
63,43340,32159,3467,14434,31247,1432,26229,11119,7715,23974,5022,16463,8115,49558,35416,9342,11943,13486,16799,20976,15203,49771,4337,19196,26997,27513,6753,1032,47907,38888
64,39857,9224,2764,10672,26274,45746,48659,9971,33643,28017,47248,29792,22991,3116,36711,22844,37535,28053,31366,16081,14720,2196,22076,32184,27616,12922,5248,31211,29112,49564
65,44111,32689,29149,45182,23769,11524,16997,29863,20613,2299,27713,10883,12433,12893,20421,29800,9416,1963,29717,40531,7085,26556,48451,12808,24125,47208,40264,39317,29464,34453
66,27111,28170,2295,49527,35546,46522,4669,34790,29209,5654,11185,45441,44648,21517,28914,7911,16699,45823,14043,14895,25273,46852,12616,31164,28223,2241,44647,9635,8601,27018
67,47628,4951,43259,1200,16247,26553,23778,15024,39808,32737,43806,37064,43968,15898,43235,23901,24921,7208,19532,9126,5788,12775,25048,40955,19877,35695,35450,36828,45265,13428
68,19346,29465,32830,13470,2882,8731,12543,13340,18688,11784,39795,34293,17157,7275,3962,2790,27581,1527,34762,38790,39690,48715,32418,18648,26271,4601,24005,2410,33372,34583
69,16739,32462,36403,28105,21712,23027,48967,19840,5428,20333,24403,34492,11814,4234,1990,10908,25599,47649,8853,31671,48959,12626,42788,34181,26187,40646,15087,40388,45013,27913
70,11095,8835,18502,15351,18909,35649,21031,25467,11113,21043,4865,40960,32804,13381,49126,30408,16937,34751,11701,24536,3191,43811,2193,42315,5912,23818,12263,16218,32323,47481
71,12874,33025,7191,30214,40729,20496,26694,36720,29484,45037,27378,41943,42055,2761,44311,7202,49605,3386,25947,39377,8942,16878,10646,35345,35902,22097,21981,38812,21150,48687
72,1905,4107,46495,46657,1800,1401,40372,31101,13341,47702,1222,30652,1664,16644,12035,40927,48634,34104,29775,49210,9952,48883,19786,26612,37567,32666,31500,38838,38642,25861
73,37801,19851,47831,7285,33016,30107,8691,38154,46353,22277,44062,2894,13615,5488,17637,25942,39770,24303,11731,24991,46162,21349,30279,39583,22116,4927,5200,14989,6800,27093
74,43185,10039,47952,41447,18656,27993,42491,6301,28015,48179,24297,42622,21226,3797,49270,49238,13551,11138,7582,15581,10415,11336,41574,30103,42064,30661,16161,9749,10362,19834
75,11211,44675,6672,30999,48482,22765,9908,42667,44597,4178,49840,14046,48208,29710,49719,5412,41936,6281,30619,35190,12538,19637,10317,9224,19715,6988,34262,14148,5317,38687
76,35397,37165,30863,36137,39024,40863,13801,4868,2714,1375,35220,45826,27313,18376,42150,8328,30778,24914,34169,39676,32465,22584,42718,40414,31038,43618,4006,48537,41132,42909
77,36707,36889,23247,20131,48873,48296,5660,45206,18999,23445,14232,39557,28534,10168,38215,16661,3035,3588,38552,21720,8715,48795,28938,37284,43008,45287,28540,46329,5449,26703
78,44975,21573,11567,45563,39476,37868,44178,10932,49469,49123,7089,39959,19811,29496,47289,25595,32174,44897,24996,26536,32294,13955,49502,24049,37744,48190,26373,9732,31167,3914
79,42593,1302,7150,3078,19141,25276,49686,16262,32389,40516,23215,21016,34169,4320,39376,27166,41296,45001,28625,42756,19113,28219,25951,41796,30005,27832,29239,22282,30643,24781
80,11783,47132,45318,13899,48044,20649,37099,36652,15408,35129,24100,19630,31342,48550,32687,10418,13441,12868,2576,38287,26765,35084,12995,30796,41724,23882,30949,13896,46049,19427
81,36290,42802,40086,27147,34802,28512,25577,12274,38474,21991,2837,31958,14061,17077,16409,11457,44761,41119,37070,3637,1719,3379,29623,22908,41486,1482,9277,2895,44572,41870
82,29637,24582,25414,1419,9951,24579,14963,18369,28645,11369,23650,34996,2106,13709,26517,10569,35131,36346,17189,29204,35428,24510,37546,22514,48748,14452,19135,14786,36462,46042
83,15585,17540,40864,41314,27539,41273,35545,12453,25187,44081,7066,6225,5480,19214,6791,23434,4303,34797,49271,2848,44029,43797,49109,25848,26285,11110,42605,7003,34794,24431
84,22768,4860,33989,46778,35057,21912,39878,36184,49702,21649,17118,47014,26496,46044,1771,46642,45149,15620,16783,38236,42601,30268,17659,41050,22710,32436,29559,29627,3075,38014
85,12595,49750,6525,11722,28535,40746,26489,8502,29898,38497,12017,18275,31938,32156,28810,37451,10662,42220,43476,13223,5250,14588,32046,7156,34533,42799,16952,26478,19032,15263
86,21756,44292,43167,48896,8585,43634,4079,45688,19250,33570,38024,10967,1058,26217,5036,9537,40804,11763,6968,38674,49953,9622,7974,29777,33052,12588,2948,36476,28788,44339
87,29565,9842,38149,41686,37832,2311,21201,15475,31904,26242,6166,7997,8855,18822,16712,33048,7794,27577,21456,15209,29565,43388,4555,23205,18846,29529,32223,5338,2246,20861
88,5282,1547,26637,28966,29224,29125,33667,20054,34759,38787,18524,20194,35377,17624,40237,42940,34598,18213,8815,8036,13223,15681,17728,21718,30115,43901,38299,22352,21754,41789
89,19530,19109,17258,7599,11889,37242,34469,24548,15711,49562,41242,3101,26824,30681,39015,42871,18414,31360,44926,31915,27067,45447,17237,29639,30065,25551,23759,7438,45978,5316
90,19717,2948,29855,39603,21698,35360,49613,20959,42805,8540,13831,20678,49502,40126,8428,49779,1543,47565,6781,40256,40403,9056,2224,3023,7767,48809,18600,33489,12570,46643
91,43467,11807,2725,11362,37417,6862,23597,43645,40419,44158,24026,15721,26563,8264,22939,6858,16549,42334,21667,48739,4210,47187,30871,41875,12417,48336,4643,8565,14676,10726
92,35269,13370,18225,17789,9967,7786,2647,25697,29343,46096,26291,32476,8638,28555,24667,47859,22963,35874,30379,3956,13564,43810,7297,1926,20335,44097,34021,5778,13159,14642
93,7209,48410,28717,46949,35947,9521,24962,25429,9125,24098,24099,4714,38001,34388,1940,46303,39448,47722,40779,46677,35757,12089,47636,49292,31429,4089,3759,39803,46575,18063
94,10960,6250,45749,19685,25269,38081,17066,38325,46209,8789,48103,38830,43371,19520,49333,45191,9266,39180,5495,16466,29249,19598,2365,38236,17012,45449,34693,39428,6507,25045
95,31201,25078,42756,29083,30240,30244,13663,42219,1273,38943,46978,2038,9603,37228,48136,29336,15544,32518,4759,33176,21782,34432,46999,29960,39162,11070,35626,1924,23551,29383
96,16493,16450,24418,43441,33475,47181,13921,44275,25004,9583,22969,46681,14200,14130,31839,14160,13542,27434,21573,30248,11106,26749,24225,32678,8719,8232,31566,45469,17954,36646
97,40002,6712,2997,2791,48285,34042,3166,18179,27041,16925,36266,48027,5076,6244,21301,38451,29512,48656,1849,41187,35587,27042,36736,35034,36311,37289,13812,45499,29695,19868
98,4984,9037,32377,2757,26964,45704,10866,15482,8207,15864,6064,28471,5754,30114,48053,40969,1743,48263,21440,46385,6958,7849,7088,45734,42538,9845,34824,10634,32625,48286
99,44375,3868,45664,28145,46830,43671,25613,45563,34654,17263,25236,20101,32971,31600,26763,37325,29884,34293,43316,46195,16254,23075,48682,25724,37791,35400,38284,13245,30515,14565
100,23332,7947,37465,9404,9327,3286,29206,20880,24996,14616,48888,47867,32481,22267,8976,32534,4051,33204,17201,16859,8434,27657,29377,7410,46473,22055,28986,2579,22054,49683
101,6613,33997,30748,23581,45267,16556,32090,30688,34555,42073,35056,35007,37374,29103,4867,22137,41788,21595,5093,43940,40862,7521,44501,32428,7328,26560,25849,40674,36957,42936
102,15759,19897,43781,40564,35480,40589,5383,16161,34401,34731,12960,1720,32462,22057,36929,38361,7385,35040,3645,4820,34487,25499,31990,21921,28690,29376,36484,32532,42765,17891
103,39948,24236,27830,24712,39590,10765,13958,35004,12784,46437,36007,21759,42858,25665,35051,5936,30050,39914,6119,44963,8285,28670,3249,17869,13353,10855,24364,41734,2972,28142
104,36489,11932,25959,15571,16222,34805,18830,30849,48957,14295,17360,23595,6015,30460,7112,5017,9007,26128,27214,12076,12888,35058,20128,9489,9404,40722,2717,42958,14325,5499
105,32628,1846,15114,14185,27898,42065,10701,42065,32784,43478,37458,36801,39729,41736,24399,18164,33551,16824,14556,45644,17897,4028,28129,28812,3377,8552,6075,15373,41972,37288
106,45327,27542,11084,6330,14388,9195,39248,27877,6816,27212,10467,18806,14744,47710,36763,19782,6841,7507,36003,8486,15448,30395,38457,14805,31041,39336,32491,15939,12198,39350
107,26785,1301,40545,5933,40920,5209,26044,40541,37509,41539,42166,36371,12939,3854,19542,46662,45090,40723,44585,30531,36407,49095,47001,26296,36750,8999,9081,29115,40388,31720
108,25012,41722,25527,37096,15684,24784,18265,15781,17889,41195,36041,13328,21313,5439,21014,1162,1524,48533,28605,7528,31938,11492,8366,18072,34219,22505,6929,40286,13950,31906
109,32341,33870,9839,34035,41388,29989,31782,9847,4306,31702,45633,36300,5401,26139,41285,46477,47416,33802,1021,32782,12072,12293,11498,27248,10871,10323,10278,4110,49935,30312
110,48915,40645,26729,28560,44387,41145,7355,6393,24523,37160,10870,26650,19659,49353,7868,31817,29897,24672,40921,26511,47653,36381,17522,47561,40936,32734,14529,30795,27525,17028
111,12010,17590,26737,11382,45099,1945,20930,45209,32281,5040,34221,5362,46339,38060,18480,11489,42000,14355,27401,45801,45066,32019,34046,9394,13723,36507,45544,16386,16711,45129
112,8121,31521,42393,27574,2579,44479,14644,47089,31666,4445,44973,48837,20510,49224,43350,23338,45534,28038,40015,37238,31794,14989,33815,15328,26933,41467,48320,37186,1435,28066
113,19400,5489,43573,10279,32754,27884,5444,39568,42169,4862,38847,10435,1664,26018,49162,42155,35825,4532,22493,44381,26976,29228,5131,11669,35890,10249,27736,1791,33671,12663
114,12120,17443,10320,3733,42511,33614,3244,34940,43439,19115,39067,47095,20012,47045,34834,12051,28938,42566,44828,49303,26867,22179,21393,40903,42003,6332,29828,41577,24229,48408
115,15540,45579,15114,19148,22795,39373,33435,3933,14304,5154,11042,49346,1899,16920,27338,49453,10875,13583,3498,37414,28560,24835,45434,18356,30620,26779,17036,17297,18303,39903
116,36984,7395,48322,2426,44593,2174,8496,37587,17261,10081,28462,9907,38695,46283,20268,19166,2631,41008,34802,32091,33257,15171,20455,45275,47014,28239,31512,28657,14447,21827
117,10711,23260,16442,27343,27593,5344,29758,13881,8097,29414,32227,9735,37128,46927,10316,7632,30801,30103,1783,41293,47508,8492,36153,11089,9149,43929,11209,31576,38606,18633
118,25076,32370,34958,23707,43516,46541,27120,44492,36275,34934,24027,42574,43712,20276,6300,33229,19966,30262,49647,32342,25165,25650,36025,6302,9179,15303,41359,44418,33418,49598
119,22740,2392,19392,19646,46094,39553,19483,42084,3836,47287,17991,20766,43053,33089,44057,40073,27722,6835,17272,13401,45618,37247,15485,1973,13966,14129,35100,26738,26416,25941
120,39578,42220,7753,13529,49410,4842,43164,7189,32492,46155,18199,9165,37563,5264,17284,47265,25660,27668,47465,8425,40621,5576,42492,40244,19451,35129,40786,5863,33150,37112
121,1516,47010,36545,25290,47103,33892,10695,14183,21709,12374,9752,23832,38001,41274,4746,14945,13104,32373,18945,21460,38656,2427,25920,19250,24929,16890,24822,27782,12884,7183
122,2791,8173,1272,48915,33830,14515,5644,36614,35565,12910,37132,37524,24924,2657,48846,45811,30323,33811,34076,9192,22520,36750,27713,6103,17690,2680,33500,40943,13594,9233
123,9490,43024,16584,28597,23790,1867,19665,43268,42889,20172,20791,29277,44097,31050,21168,43082,2690,49947,12123,17908,42416,25206,16977,40943,2604,1154,38987,14996,13309,32605
124,46311,49984,6092,24191,42627,17381,6249,48390,39458,18171,40474,33524,21022,34131,4793,28678,18715,30634,13946,26805,5167,26781,33964,30490,3179,19420,29519,30038,9878,35538
125,9257,8125,18328,17684,14164,45863,26233,22077,1619,27645,35332,30631,23071,34568,6741,10031,21865,46670,32162,30460,42526,35163,31229,22916,2249,40426,10111,29679,22488,40529
126,43817,30581,20747,34993,35913,36245,33990,39312,32600,27729,2196,28636,10118,48133,26028,10075,40207,1392,13330,16266,49535,20794,2056,47010,35509,11565,9707,32234,33250,14198
127,17423,22726,6164,1430,27251,47039,22169,23968,23841,40990,37726,2893,12577,24156,36978,23622,48353,49717,12483,29552,44462,38739,17792,10947,15371,25759,2237,6966,42822,18413
128,49726,11406,22375,40413,24742,26259,49545,45940,8481,11794,23184,48401,42750,41386,47448,17673,36898,45662,40485,32889,28564,16306,28480,24028,20082,44963,40439,37924,43283,38170
129,15175,22078,43132,3703,11708,8190,33836,21288,7384,11097,31830,22758,11839,28973,23424,28312,14387,1743,7722,47325,26022,13522,19723,8759,2701,32328,7117,6849,33396,3666
130,41238,8104,6265,6538,44189,8043,49030,3517,10611,10420,6671,23430,35588,33715,43533,16012,45130,37857,33773,43488,43149,48594,44764,49619,13467,47828,46178,2397,45248,21945
131,46891,48341,43270,38063,2355,32212,11209,41390,21415,24974,18919,46421,40397,18223,12489,43360,46084,27211,29049,48252,28637,37353,1856,30238,5347,26668,29775,49810,1355,10577
132,48292,34525,44650,12630,23653,40405,21665,23521,40358,12708,1399,43055,44413,5003,46709,49091,48624,32994,19886,7774,14530,34871,7269,8879,10365,29810,27636,30908,30485,10361
133,20731,11968,41590,10948,43270,11589,31887,41663,27827,26048,49240,7446,14569,14189,12954,19530,30026,3424,19629,4953,28784,33860,42077,23981,43885,2247,5629,38817,12143,20571
134,37106,22319,3235,5176,22332,33794,44011,11426,28502,29400,17139,21819,36201,30987,14284,4121,16002,13141,34489,31675,5391,13341,29664,38952,22821,13929,16732,36011,23040,35673
135,23556,24542,2142,32414,27321,9613,40762,7831,10528,7898,42778,12853,14435,8328,21808,34256,11608,47867,25438,49554,30651,38934,41958,30927,42642,22752,8427,38150,39818,1776
136,23080,32033,42017,10420,14729,9589,25260,2867,15334,42783,22247,23009,36857,19075,44404,9906,41612,9147,31044,20162,23427,7497,29162,12883,27729,39585,1692,32579,12845,1137
137,6880,37114,37463,33934,19521,44387,36680,31620,39151,29740,19740,15483,32216,45502,38504,41255,32123,49575,26471,3329,22121,24397,28493,25091,47348,36370,8744,22562,28813,21450
138,33622,18315,31031,9233,27360,32815,8147,39568,48798,2743,29115,46124,22767,4037,24362,21118,32870,15179,43118,29824,18527,19089,26933,42429,41884,31937,21665,25821,42393,36331
139,10038,11010,10748,27437,18517,9354,47352,14989,28364,43571,39746,44914,38077,8692,12128,12114,10603,30493,45956,5881,32127,48573,35550,49044,19220,5620,20770,3083,4495,2277
140,20766,14710,27510,10848,6105,37766,7445,34526,22972,26245,30925,46000,4540,14021,25729,48977,47491,46560,33232,1165,38078,4900,48716,33694,16048,21523,48702,12936,1089,38230
141,1209,35043,34616,10175,32947,11825,31142,24088,20108,25193,16747,37212,24526,8811,5187,16443,35145,27950,48466,5872,29773,42370,36645,10882,37348,11508,38597,42292,49450,41782
142,48169,12505,45772,48664,1388,37484,6056,31995,27860,3293,39585,28077,24017,29241,43678,46941,11222,3329,14389,26828,25531,1510,41516,49321,20493,26955,20948,22274,48153,37747
143,40988,17426,35268,33696,32152,43840,14320,18072,3980,17114,27657,5689,38928,38895,5676,29187,45878,42604,3720,35018,12705,18875,22864,5947,18211,16106,28057,1987,8102,10131
144,38563,37195,33012,4822,12298,44387,21048,13046,6187,44215,15949,35089,44273,29296,14318,14158,24056,4598,45359,38240,42280,13618,29058,11370,26298,43155,42209,14913,43053,35930
145,15778,25891,34889,49111,43002,15049,43904,38834,22139,3341,23732,43996,19054,37163,45929,33817,28827,28055,29573,17119,2566,39838,5669,46193,8796,29030,39015,37776,9968,26849
146,33690,45563,44777,16456,3741,19340,37837,18849,12797,5278,19281,18277,31741,18735,12694,14327,4958,48307,6807,19877,42780,39557,38949,45449,31522,24384,1037,21663,49434,14689
147,35553,13306,34380,14852,37997,45578,37035,6478,30836,28231,41629,15051,24555,33704,23875,7620,29486,11167,27828,28035,34986,42572,49095,26183,12684,33575,49010,16486,29312,41291
148,30876,49691,35066,34526,34147,31619,41583,15601,30215,35509,18992,49748,37323,43819,22218,20977,5842,26651,39641,20529,12201,25929,38963,47889,10850,8549,2136,32704,15458,30640
149,14871,20780,39614,38098,30299,15551,1005,21167,45888,38259,37567,49089,19134,42615,25910,12395,24353,48716,30211,28282,46718,18877,31196,4896,33164,44898,11518,41635,25121,36532
150,23851,48772,31232,19979,21336,23797,15618,6684,16370,37156,10748,15950,47175,47792,45654,9417,44844,11064,33105,31637,41825,2456,12918,31243,28075,13105,31984,4564,3953,24703
